202835130091_R05C01	Group1
202835220034_R05C01	Group1
202835220036_R07C01	Group1
202835220051_R01C01	Group1
202835220056_R01C01	Group1
202835220056_R02C01	Group1
202835220056_R06C01	Group1
202835220065_R08C01	Group1
202835220073_R04C01	Group1
202835220075_R06C01	Group1
202835130091_R03C01	Group2
202835130091_R04C01	Group2
202835130091_R06C01	Group2
202835130091_R07C01	Group2
202835130091_R08C01	Group2
202835220034_R01C01	Group2
202835220034_R02C01	Group2
202835220034_R03C01	Group2
202835220034_R04C01	Group2
202835220034_R06C01	Group2
202835220034_R07C01	Group2
202835220034_R08C01	Group2
202835220036_R01C01	Group2
202835220036_R02C01	Group2
202835220036_R03C01	Group2
202835220036_R04C01	Group2
202835220036_R05C01	Group2
202835220036_R06C01	Group2
202835220036_R08C01	Group2
202835220051_R02C01	Group2
202835220051_R04C01	Group2
202835220051_R05C01	Group2
202835220051_R06C01	Group2
202835220051_R07C01	Group2
202835220051_R08C01	Group2
202835220056_R03C01	Group2
202835220056_R04C01	Group2
202835220056_R07C01	Group2
202835220056_R08C01	Group2
202835220065_R03C01	Group2
202835220065_R04C01	Group2
202835220065_R05C01	Group2
202835220065_R06C01	Group2
202835220065_R07C01	Group2
202835220073_R01C01	Group2
202835220073_R02C01	Group2
202835220073_R03C01	Group2
202835220073_R05C01	Group2
202835220073_R06C01	Group2
202835220073_R07C01	Group2
202835220073_R08C01	Group2
202835220075_R01C01	Group2
202835220075_R02C01	Group2
202835220075_R03C01	Group2
202835220075_R04C01	Group2
202835220075_R05C01	Group2
202835220075_R07C01	Group2

